Accession,Species,Genus,Family,Length,Host,GenBank_Title
MN938931,Streptococcus phage D4446,,,33656,Streptococcus thermophilus,"Streptococcus phage D4446, complete genome"
MT133560,Pseudomonas phage fnug,,,278899,Pseudomonas aeruginosa PAO1,"Pseudomonas phage fnug, complete genome"
MT133561,Pseudomonas phage goonie,,,65201,Pseudomonas aeruginosa PAO1,"Pseudomonas phage goonie, complete genome"
MT133562,Pseudomonas phage willy,,,65233,Pseudomonas aeruginosa PAO1,"Pseudomonas phage willy, complete genome"
MT133563,Pseudomonas phage billy,,,65858,Pseudomonas aeruginosa PAO1,"Pseudomonas phage billy, complete genome"
MT150133,Enterobacteria phage vB_EcoM_IME540,,Myoviridae,170237,Escherichia coli,"Enterobacteria phage vB_EcoM_IME540, complete genome"
MT178766,Listeria virus P100plus,,,135028,Listeria monocytogenes,"Listeria virus P100plus, complete genome"
MT178767,Listeria virus P200,,,135029,Listeria monocytogenes,"Listeria virus P200, complete genome"
MT270409,Phaeobacter phage MD18,,,149262,Phaeobacter inhibens DSM 17395,"Phaeobacter phage MD18, complete genome"
MK693005,Klebsiella phage KPR2,Drulisvirus,Podoviridae,44067,Klebsiella pneumoniae,"Klebsiella phage KPR2, complete genome"
MT276994,Aeromonas phage AhyVDH1,,Myoviridae,39175,Aeromonas hydrophila,"Aeromonas phage AhyVDH1, complete genome"
MT135024,Vibrio phage V05,Schizotequatrovirus,Myoviridae,157241,Vibrio parahaemolyticus,"Vibrio phage V05, complete genome"
MT135025,Vibrio phage V07,Schizotequatrovirus,Myoviridae,349331,Vibrio parahaemolyticus,"Vibrio phage V07, complete genome"
MT135026,Vibrio phage V09,Schizotequatrovirus,Myoviridae,243881,Vibrio parahaemolyticus,"Vibrio phage V09, complete genome"
MT151386,Staphylococcus virus Twort,Twortvirus,Herelleviridae,139739,Staphylococcus hyicus,"Staphylococcus virus Twort, complete genome"
MT157285,Klebsiella phage P-KP2,Slopekvirus,Myoviridae,172138,Klebsiella pneumoniae,"Klebsiella phage P-KP2, complete genome"
MT176427,Escherichia phage CJ19,,Siphoviridae,49567,Escherichia coli,"Escherichia phage CJ19, complete genome"
MT178275,Klebsiella virus KpS8,,Myoviridae,143800,Klebsiella pneumoniae,"Klebsiella virus KpS8, complete genome"
MT178448,Vibrio phage vB_VpP_FE11,,Podoviridae,43397,Vibrio,"Vibrio phage vB_VpP_FE11, complete genome"
MT179807,Escherichia phage vB_EcoM_IME537,Tequatrovirus,Myoviridae,168642,Escherichia coli,"Escherichia phage vB_EcoM_IME537, complete genome"
MT188223,Acinetobacter phage vB_AbaM_D22,,Myoviridae,103539,Acinetobacter sp.,"Acinetobacter phage vB_AbaM_D22, complete genome"
MT197175,Klebsiella phage VLC5,Drulisvirus,Podoviridae,44932,Klebsiella pneumoniae,"Klebsiella phage VLC5, complete genome"
MT210154,Xanthomonas phage PPDBI,,Podoviridae,39980,Xanthomonas campestris,"Xanthomonas phage PPDBI, complete genome"
MT227924,Vibrio phage phiV208,,Siphoviridae,45521,Vibrio alginolyticus,"Vibrio phage phiV208, complete genome"
MT241605,Achromobacter phage AMA1,Steinhofvirus,Siphoviridae,46333,Achromobacter marplatensis,"Achromobacter phage AMA1, complete genome"
MT241606,Achromobacter phage AMA2,Steinhofvirus,Siphoviridae,46155,Achromobacter marplatensis,"Achromobacter phage AMA2, complete genome"
MT241607,Achromobacter phage AMA3,Steinhofvirus,Siphoviridae,45901,Achromobacter marplatensis,"Achromobacter phage AMA3, complete genome"
MT251347,Klebsiella phage LASTA,,Podoviridae,62420,Klebsiella pneumoniae,"Klebsiella phage LASTA, complete genome"
MT251348,Klebsiella phage SJM3,,Podoviridae,62420,Klebsiella pneumoniae,"Klebsiella phage SJM3, complete genome"
MT254578,Bacillus phage Izhevsk,,Siphoviridae,168638,Bacillus cereus,"Bacillus phage Izhevsk, complete genome"
MT259468,Aeromonas phage PS,,Podoviridae,41082,Aeromonas salmonicida,"Aeromonas phage PS, complete genome"
MT263719,Acinetobacter virus vB_AbaP_AGC01,Friunavirus,Podoviridae,41231,Acinetobacter baumannii,"Acinetobacter virus vB_AbaP_AGC01, complete genome"
MN901520,Halorubrum virus Hardycor2,,Myoviridae,77342,,"Halorubrum coriense virus Hardycor2, complete genome"
MN901521,Halorubrum virus Serpecor1,,Myoviridae,74196,,"Halorubrum coriense virus Serpecor1, complete genome"
MT188704,Mesorhizobium phage Cp1R7A-A1,,Siphoviridae,131434,Mesorhizobium loti,"Mesorhizobium phage Cp1R7A-A1, complete genome"
MN855585,Siphoviridae sp.,,Siphoviridae,40087,,"Siphoviridae sp. isolate 306, complete genome"
MN855586,Bacteriophage sp.,,,16289,Apis mellifera,"Bacteriophage sp. isolate 117, complete genome"
MN855587,Siphoviridae sp.,,Siphoviridae,15037,,"Siphoviridae sp. isolate 137, complete genome"
MN855588,Bacteriophage sp.,,,15008,Apis mellifera,"Bacteriophage sp. isolate 130, complete genome"
MN855589,Bacteriophage sp.,,,14846,Apis mellifera,"Bacteriophage sp. isolate 133, complete genome"
MN855590,Siphoviridae sp.,,Siphoviridae,12499,,"Siphoviridae sp. isolate 185, complete genome"
MN855591,Bacteriophage sp.,,,11931,Apis mellifera,"Bacteriophage sp. isolate 169, complete genome"
