Accession,Species,Genus,Family,Length,Host,GenBank_Title
NC_045425,Thermus virus OH3,,Inoviridae,5688,Thermus thermophilus HB8,"Thermus phage phiOH3 genomic DNA, complete genome"
NC_044940,Pectinobacterium virus PEAT2,Peatvirus,Myoviridae,48659,,"Pectobacterium phage PEAT2, complete genome"
NC_043767,Mycobacterium virus TA17a,Rosebushvirus,Siphoviridae,67324,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus TA17a, complete genome"
NC_043027,Bacillus virus PBS1,,Myoviridae,252197,Bacillus subtilis,"Bacillus virus PBS1, complete genome"
NC_043028,Xanthomonas virus Xf109,,Inoviridae,7190,Xanthomonas oryzae ATCC 35933,"Xanthomonas phage Xf109, complete genome"
NC_043029,Stenotrophomonas virus SMA6,,Inoviridae,7648,Stenotrophomonas maltophilia,Stenotrophomonas phage phiSMA6 proviral complete genome
NC_043469,Enterobacter virus F20,Webervirus,Siphoviridae,51543,Klebsiella aerogenes,"Enterobacteria phage F20, partial genome"
NC_043545,Mycobacterium virus I3,Bixzunavirus,Myoviridae,2317,,Mycobacteriophage I3 gene for structural protein (70 KD)
NC_042564,Escherichia virus BF23,Tequintavirus,Siphoviridae,14504,Escherichia coli,Enterobacteria phage BF23 tRNA gene region
NC_042307,Escherichia virus H8,Tequintavirus,Siphoviridae,104373,,"Escherichia virus H8, complete genome, *** SEQUENCING IN PROGRESS ***"
NC_042308,Mycobacterium virus Backyardigan,Fromanvirus,Siphoviridae,51308,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus Backyardigan, complete genome"
NC_042309,Mycobacterium virus Gladiator,Fromanvirus,Siphoviridae,52213,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus Gladiator, complete genome"
NC_042310,Mycobacterium virus JHC117,Fromanvirus,Siphoviridae,50877,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus JHC117, complete genome"
NC_042311,Mycobacterium virus Microwolf,Fromanvirus,Siphoviridae,50864,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus Microwolf, complete genome"
NC_042312,Mycobacterium virus George,Fromanvirus,Siphoviridae,51578,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus George, complete genome"
NC_042313,Mycobacterium virus Joedirt,Bronvirus,Siphoviridae,74914,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus JoeDirt, complete genome"
NC_042314,Mycobacterium virus Packman,Fromanvirus,Siphoviridae,51339,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus PackMan, complete genome"
NC_042315,Mycobacterium virus Rockyhorror,Cheoctovirus,Siphoviridae,56719,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus RockyHorror, complete genome"
NC_042316,Mycobacterium virus Baka,Omegavirus,Siphoviridae,111688,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus BAKA, complete genome"
NC_042317,Mycobacterium virus Dlane,Cheoctovirus,Siphoviridae,58899,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus DLane, complete genome"
NC_042318,Mycobacterium virus Hammer,Fromanvirus,Siphoviridae,51889,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus Hammer, complete genome"
NC_042319,Mycobacterium virus Ibhubesi,Cheoctovirus,Siphoviridae,55600,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus Ibhubesi, complete genome"
NC_042320,Mycobacterium virus JC27,Fromanvirus,Siphoviridae,52169,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus JC27, complete genome"
NC_042321,Mycobacterium virus Lesedi,Fromanvirus,Siphoviridae,50486,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus Lesedi, complete genome"
NC_042322,Mycobacterium virus Littlee,Omegavirus,Siphoviridae,109086,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus LittleE, complete genome"
NC_042323,Mycobacterium virus Mozy,Cheoctovirus,Siphoviridae,57278,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus Mozy, complete genome"
NC_042324,Mycobacterium virus Museum,Fromanvirus,Siphoviridae,51426,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus Museum, complete genome"
NC_042325,Mycobacterium virus Pixie,Timquatrovirus,Siphoviridae,61147,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus Pixie, complete genome"
NC_042326,Mycobacterium virus Kssjeb,Fromanvirus,Siphoviridae,51381,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus KSSJEB, complete genome"
NC_042327,Mycobacterium virus BBPiebs31,Fromanvirus,Siphoviridae,53171,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus BBPiebs31, complete genome"
NC_042328,Mycobacterium virus Heldan,Fromanvirus,Siphoviridae,50364,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus HelDan, complete genome"
NC_042329,Mycobacterium virus Mrgordo,Fromanvirus,Siphoviridae,50988,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus MrGordo, complete genome"
NC_042330,Mycobacterium virus Ericb,Fromanvirus,Siphoviridae,51702,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus EricB, complete genome"
NC_042331,Mycobacterium virus Benedict,Fromanvirus,Siphoviridae,51083,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus Benedict, complete genome"
NC_042332,Mycobacterium virus Jaws,Timquatrovirus,Siphoviridae,59749,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus JAWS, complete genome"
NC_042333,Mycobacterium virus Cuco,Fromanvirus,Siphoviridae,50965,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus Cuco, complete genome"
NC_042334,Mycobacterium virus Jeffabunny,Fromanvirus,Siphoviridae,48963,Mycolicibacterium smegmatis MC2 155,"Mycobacterium virus Jeffabunny, complete genome"
